RGB0000X.jpg,171,339,210,380,0
RGB0000X.jpg,234,340,270,379,0
RGB0000X.jpg,304,340,341,376,0
RGB0001X.jpg,152,336,201,369,0
RGB0001X.jpg,222,339,272,371,0
RGB0001X.jpg,295,339,339,370,0
RGB0002X.jpg,154,336,209,393,0
RGB0002X.jpg,219,340,271,392,0
RGB0002X.jpg,285,335,337,389,0
RGB0003X.jpg,152,328,213,383,0
RGB0003X.jpg,211,327,278,379,0
RGB0003X.jpg,281,327,340,377,0
RGB0004X.jpg,150,337,214,381,0
RGB0004X.jpg,212,337,279,379,0
RGB0004X.jpg,284,338,343,378,0
RGB0006X.jpg,154,315,189,371,0
RGB0006X.jpg,217,320,284,379,0
RGB0006X.jpg,288,316,348,367,0
RGB0007X.jpg,158,309,201,354,0
RGB0007X.jpg,228,315,264,352,0
RGB0007X.jpg,295,312,333,347,0
RGB0008X.jpg,163,337,213,370,0
RGB0008X.jpg,228,340,277,369,0
RGB0008X.jpg,298,338,344,369,0
RGB0009X.jpg,151,394,200,432,0
RGB0009X.jpg,219,405,278,440,0
RGB0009X.jpg,293,392,346,432,0
RGB0010X.jpg,146,388,196,429,0
RGB0010X.jpg,221,405,280,440,0
RGB0010X.jpg,299,392,350,431,0
RGB0011X.jpg,213,328,231,384,0
RGB0011X.jpg,242,326,253,381,0
RGB0011X.jpg,272,327,287,380,0
RGB0014X.jpg,144,341,200,386,0
RGB0014X.jpg,222,337,278,397,0
RGB0014X.jpg,287,339,346,404,0
RGB0015X.jpg,146,306,217,358,0
RGB0015X.jpg,222,317,290,379,0
RGB0015X.jpg,290,306,361,349,0
RGB0016X.jpg,149,307,213,352,0
RGB0016X.jpg,211,312,284,366,0
RGB0016X.jpg,283,312,357,357,0
RGB0017X.jpg,144,338,211,389,0
RGB0017X.jpg,211,343,278,389,0
RGB0017X.jpg,278,338,349,385,0
RGB0018X.jpg,148,341,205,396,0
RGB0018X.jpg,217,339,275,398,0
RGB0018X.jpg,294,338,354,405,0
RGB0019X.jpg,159,338,211,373,0
RGB0019X.jpg,224,333,280,369,0
RGB0019X.jpg,285,339,333,374,0
RGB0021X.jpg,168,310,211,357,0
RGB0021X.jpg,229,316,270,364,0
RGB0021X.jpg,285,312,331,358,0
RGB0023X.jpg,214,327,225,384,0
RGB0023X.jpg,234,322,256,382,0
RGB0023X.jpg,272,322,289,385,0
RGB0024X.jpg,202,317,228,373,0
RGB0024X.jpg,227,312,260,371,0
RGB0024X.jpg,278,341,330,376,0
RGB0025X.jpg,216,318,239,374,0
RGB0025X.jpg,245,314,269,373,0
RGB0025X.jpg,272,315,282,375,0
RGB0026X.jpg,164,339,217,394,0
RGB0026X.jpg,289,341,344,398,0
RGB0027X.jpg,154,337,217,379,0
RGB0027X.jpg,278,338,348,382,0
RGB0028X.jpg,274,341,357,424,0
RGB0028X.jpg,149,339,217,407,0
